9|7|10|0|6 , file disclosure vulnerability information exposure
3|9|7|6|0|1 , request account password reset gain access account specially craft request
9|7|10|0|6 , obtain sensitive stack trace information craft administration console request
0|6|7|9 , compromise oracle flexcube universal banking unauthorized update insert delete access unauthorized read access partial denial service partial dos
4|0|6|7 , j@l#y$z%x6x7q8c9z
0|6|7 , denial service application crash craft input
9|7|10|0|6 , read arbitrary sap central user administration sap cua unspecified vector
9|7|10|0|6 , password- discover cleartext administrator password cgi bin passrec.asp html source code
9|7|10|0|6 , obtain sensitive information kernel memory
9|7|10|0|6 , read download arbitrary file device file system
0|6|7 , http url path craft relative path something/ /admin bypass access control block /admin interpret non normalized path provide attacker access
10|3 , eavesdrop sensitive datum cleartext
0|6|7 , upload file binary upload malicious script
9|7|10|0|6 , disclose information information disclosure
9|7|10|0|6 , properly limit attempt authenticate obtain access brute force approach
9|7|10|0|6 , chk value 48bit compute forge valid chk receive configuration setting sensitive value credential username password
0|9 , spoof vulnerability validate origin cross origin communication handler
9|7|10|0|6 , initialize certain data structure obtain sensitive information kernel stack memory
3|9|4|7|0|6 , oauth authentication refresh access token clear text file impersonate legitimate user reuse store oauth token view change user personal information gain physical control android device compromise
0|6|7 , improper input validation
0|6|7 , collision
4|0|6|7 , hard code credential gain unauthorized administrative access remote code execution
0|6|7 , read arbitrary file underlying filesystem device insufficient file scope limit create specific file reference filesystem read arbitrary file
0|6|7|9 , write arbitrary file vector relate rfc gateway
9|7|10|0|6 , information disclosure
0|6|7 , arbitrary write access modification spi flash
5 , memory leak memory leak
0|6|7 , improper input validation smuggle request
0|6|7 , remote code execution properly validate input authenticate user guest operating system remote code execution
0|6|7|9 , zigbee replay
9|7|10|0|6 , accelerate micro architectural attack
0|6|7|9 , unauthorized execution binary create malformed windows binary
9|7|10|0|6 , api dial copy device id erase access datum
0|6|7 , resource exhaustion miss bound check remote denial service
9|7|10|0|6 , incorrect file permission configuration file read write configuration file modify application server configuration
1|0|3|9 , pass create new udid
0|6|7 , compromise malicious user
9|7|10|0|6 , obtain private key
9|7|10|0|6 , download arbitrary file target system
3|9|7|6|0|1 , properly perform authentication execute arbitrary code unspecified vector
2 , communicate clear text request encrypt communication channel sensitive information document content
0|6|7 , denial service vpnmgr process restart craft header tacacs packet
3|9|7|6|0|1 , authentication bypass
9|7|10|0|6 , bypass intend access restriction group message slash command
3|9|7|6|0|1 , bypass authentication perform action
0|6|7 , overwrite arbitrary file symlink attack
3|9|7|6|0|1 , password reset request attacker provide e mail address
9|7|10|0|6 , mount attack system
9|7|10|0|6 , read notification device obtain text user notification
9|7|10|0|6 , information disclosure obtain user personally identifiable information e mail address telephone number
9|7|10|0|6 , disclosure sensitive information
9|7|10|0|6 , cleartext inputaccel ia sql password dal log file obtain sensitive information read file
0|6|7 , remote code execution execute arbitrary script insufficient validation url parameter gain access sensitive information
9|7|10|0|6 , bypass intend authorization policy unspecified vector
3|4|7|0|6 , brute force authentication attack login page
5 , allocate large memory
0|6|7 , insecure library loading dll hijacking privilege escalation
0|6|7 , denial service host crash specify user mode execution
9|7|10|0|6 , hardcode aes key discover office system server boss db2 database credential
0|6|7 , denial service require assertion failure daemon exit craft flag value query
3|9|4|7|0|6 ,
0|6|7 , remote code execution
4|0|6|7 , hard code credential hardcoded root password hash simple automated exploit chain unauthenticated root shell
9|7|10|0|6 , error response cache intermediate proxy loss confidentiality
0|6|7 , denial service bsod unspecified impact validate input value
0|6|7 , verify server hostname cn spoof ssl server arbitrary valid certificate
0|6|7|9 , arbitrary anonymous upload phone storage
3|9|4|7|0|6 , key protection enable denial service
10|3 , miss encryption sensitive datum
9|7|10|0|6 , access restriction view configuration menu unspecified vector
0|6|7 , dwmapi.dll irml.dll arbitrary code execution
0|6|7 , denial service application crash con aux nul device filename attachment
0|6|7 , miss input validation overwrite tzasc allow tee compromise
0|6|7 , system_server crash reboot
9|7|10|0|6 , raw_cmd_copyout properly restrict access certain pointer obtain sensitive information kernel heap memory write access /dev fd device
10 , improper permission escalation privilege local attack
3|9|4|7|0|6 , offline dictionary brute force attack cross protocol authentication bypass offline dictionary brute force attack recover weak pre shared key enable impersonation victim host network
9|7|10|0|6 , properly isolate cache datum different anonymous user obtain sensitive interim form input information unspecified vector
5 , denial service memory leak craft file
9|7|10|0|6 , obtain sensitive information uri percent character second character buffer overflow
9|7|10|0|6 , initialize certain structure member obtain sensitive information kernel heap memory craft application
9|7|10|0|6 , view fully qualified domain cisco webex administration server
0|6|7|9 , bypass safebrowsing protection mechanism unspecified vector
0|6|7 , properly validate nonce input forge http route service request invalid nonce crash
9|7|10|0|6 , insufficient policy enforcement spoof location object craft html page
5 , loadflashmovie function obtain sensitive information process memory invalid argument
9|7|10|0|6 , determine kernel memory address bypass kaslr protection mechanism unspecified vector
4|0|6|7 , execute arbitrary code read user encrypt password
0|6|7 , properly handle consecutive attribute protocol att request reception event deadlock crash craft packet
9|7|10|0|6 , read arbitrary user email address
0|6|7 , properly constrain host portion password reset url phishing attack attacker control host
