7|9|6|0|10 , local privilege escalation
7|9|6|0|10 , obtain sensitive information kernel stack memory
7|9|6|0|10 , read arbitrary file
5 , memory leak denial service
7|6|0 , execute code
7|6|0 , bounds read remote information disclosure
3|7|6|4|0 , denial service
3|1 , check log access file server disable plugin
7|6|9|0 , read /saas web inf
7|6|0 , remote code execution
7|9|6|0|10 , sensitive data leakage
7|9|6|0|10 , privilege escalation privilege escalation unspecified attack
5 , zip bomb denial service
7|9|6|0|10 , obtain potentially sensitive version information
7|6|9|0 , execute arbitrary code
7|9|6|0|10 , obtain sensitive password information root account virtual machine
7|9|6|0|10 , disclosure contact information
7|9|6|0|10 , active inactive user account determined attack brute force attack
7|6|0 , gain privilege
7|6|0 , process fullscreen toggle request denial service unsuppressed popup
7|9|6|0|10 , obtain sensitive information modify user detail idor
7|6|0 , overwrite arbitrary file
7|6|9|0|10 , pass traffic
7|9|6|0|10 , read arbitrary file
7|6|0 , script injection
7|6|0 ,
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , obtain potentially sensitive information
7|9|6|0|10 , timing attack compromise private rsa key
7|9|6|0|10 , discover credential
7|9|6|0|10 , compromise peoplesoft enterprise pt peopletools unauthorized access critical datum complete access
7|9|6|0|10 , exposure sensitive information connect attacker specify url
7|6|4|0 , decrypt decrypt modify backup file elevate privilege
7|6|0 , process crash denial service dos condition process crash device reload dos condition
7|6|9|0 , replay attack use single solve captcha
7|6|0 , execute arbitrary command
7|6|0 , execute arbitrary php code
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure obtain sensitive information
7|6|9|0 , view sensitive information modify service api
10 , prototype pollution add arbitrary property javascript language construct
7|6|0 , denial service application crash unspecified impact
7|6|0 , denial service cpu consumption device crash mld packet
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|9|6|0|10 , obtain sensitive information
7|6|0 , bypass configure user filter scan incoming email attachment
7|6|0 , denial service connectivity outage
7|6|0 , denial service unspecified impact stale pointer
7|6|0 , compare arbitrary memory address fix value read content arbitrary memory
7|6|0 , obtain sensitive information symlink attack configuration file
7|6|0 , memory integrity
7|6|0 , dll hijacking execute unexpected code machine
9|0 , session fixation perform arbitrary operation
7|6|0 , bypass authentication remote code execution
5 , revoke dynamic secret
7|6|4|0 , discover admin credential
7|6|0 , denial service assertion failure daemon exit
3|7|6|9|1|0 , gain administrative access
7|6|0 , overwrite arbitrary file symlink attack
7|9|6|0|10 , obtain sensitive credential information
3|7|6|9|1|0 , user bluetooth device
7|6|4|0 ,
7|6|4|0 , obtain cleartext store diary entry
5 , consume resource denial service resource leak
3|7|6|9|1|0 , obtain gui administrative access
7|6|0 , bypass sandbox protection mechanism read arbitrary file
7|6|0 , device reload denial service dos condition corrupt bgp routing table network instability ip address length field reload corrupt bgp routing table dos.
7|6|0 , improper input validation arbitrary code execution
7|6|0 , bypass signature check execute arbitrary code
7|6|9|0 , obtain sensitive information
7|9|6|0|10 , internal notification message datum
7|6|0 , memory corruption execute arbitrary code
10 , administrator permission access sensitive device information
7|9|6|0|10 , obtain sensitive information different request scope crash leakage session identifier sensitive datum
3|7|6|9|1|0 , authentication bypass kill app lock device gain device access
7|6|0 , denial service unspecified impact stale pointer
7|9|6|0|10 , information disclosure
10 , modify content automatic execution replace tcsysui.exe execute code
7|9|6|0|10 , read arbitrary file windows media center information disclosure vulnerability
7|6|0 , escalation privilege local access
3|7|6|9|1|0 , bypass authentication unauthenticated bind
7|6|4|0 , discover weakly encode admin password
7|9|6|0|10 , compromise oracle weblogic server unauthorized read access
7|9|6|0|10 , affect confidentiality
2 , achieve remote code execution root mitm attack mitm attack respond circle update request overwrite executable file attacker control code
7|9|6|0|10 , sensitive information disclosure obtain highly sensitive information
7|9|6|0|10 , read arbitrary file
7|6|0 , denial service unspecified impact
7|6|4|0 , access end database gain privilege
5 , attempt excessive memory allocation
7|6|0 , spoof address bar
3|7|6|9|1|0 , act identity different user
7|9|6|0|10 , race condition access free memory
7|9|6|0|10 , read content cross domain information disclosure
7|6|0 , change sweeperlist
7|6|9|0 , bypass vlan isolation protection
7|9|6|0|10 , trigger memory corruption obtain sensitive information
7|9|6|0|10 , enumerate username
3|7|6|9|1|0 , obtain access
7|9|6|0|10 , verify csrf token bypass csrf protection mechanism
9|0 , session fixation attack
7|9|6|0|10 , access file local file system
7|9|6|0|10 , obtain sensitive information
7|6|0 , captcha bypass
3|7|9|6|4|0 , sql injection lateral movement access monitor network device
3|7|6|9|1|0 , remote write arbitrary wi fi configuration datum
7|6|0 , unauthenticated arbitrary file delete delete file
7|9|6|0|10 , write arbitrary class file gain privilege
7|6|0 , bad impact
7|6|0 , gain privilege
7|9|6|0|10 , execute remote code
3|7|6|9|1|0 , mysql database password access corrupt rmt database
7|6|0 , denial service segmentation fault unspecified impact
7|6|0 , use uninitialized memory obtain sensitive information denial service daemon crash
7|6|0 , dll hijacking execute malicious code
7|6|9|0 , alter script code execution
3|7|6|9|1|0 , bypass manager authentication
7|9|6|0|10 , obtain sensitive information kernel heap memory
7|9|6|0|10 , cookie authorization header hijack session user
7|9|6|0|10 , view sensitive information affect system view sensitive information software additional reconnaissance attack
7|6|0 , bypass navigation restriction
7|9|6|0|10 , information leakage
3|7|9|6|4|0 , security feature bypass obtain session key sign message microsoft windows security feature bypass
7|6|0 , denial service segmentation fault
7|6|0 , open redirect redirect user arbitrary web site phishing attack
7|9|6|0|10 , bypass origin policy error message leak
7|9|6|0|10 , discover cleartext airprint preview content
7|6|0 , denial service
7|6|0 , insecure library loading dll hijacking privilege escalation
3|7|9|6|4|0 , redact encrypt secret
7|9|6|0|10 , read host memory
7|6|9|0 , impersonate user include contact social engineering attack
7|6|0 , execute arbitrary code
7|6|0 , execute arbitrary command
7|6|0 , misleading string display local information disclosure
7|6|0 , denial service crash execute arbitrary code
2 , leak sensitive information data corruption
7|9|6|0|10 , obtain password sensitive information
7|6|4|0 , inbound authentication outbound communication external component encryption internal datum
7|9|6|0|10 , view amazon eks credential
10 , execute arbitrary command elevate privilege execute arbitrary command
7|9|6|0|10 , information disclosure
5 , temp buffer memory leakage crash system induce read /dev
7|9|6|0|10 , control permission obtain administrative privilege
7|9|6|0|10 , cause effect
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information kernel memory
7|6|0 ,
7|9|6|0|10 , create image expose local datum
7|6|0 , creation mode 0777 executable file
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , authentication bypass access administrative command
7|9|6|0|10 , obtain sensitive information launch attack affected system
7|6|0 , denial service device reload
3|7|6|9|1|0 , obtain sensitive information
7|9|6|0|10 , read manipulate datum man the- mitm
7|6|0 , execute arbitrary code buffer overflow
7|9|6|0|10 , use free condition
7|6|0 , write arbitrary file
3|7|6|9|1|0 , spoof certificate fingerprint consequently log user
3|7|6|9|1|0 , authenticate use variation valid user bypass protection
5 , consume available saxparsers pool long hang
7|6|0 , denial service infinite loop
3|7|6|9|1|0 , authentication bypass obtain privileged connection target device
7|9|6|0|10 , obtain potentially sensitive information return change
10 , modify overwrite product file gain privilege obtain maximum control product
7|6|0 ,
7|6|0 , remote code execution remote code execution
7|6|0 , bound read remote information disclosure
7|6|0 , untrusted search path gain privilege
7|6|0 , stack pointer leak memory address calling
7|9|6|0|10 , affect confidentiality
3|7|6|9|1|0 , remote authentication bypass
10 , change access router setting
7|9|6|0|10 , obtain potentially sensitive information
7|9|6|0|10 , obtain sensitive information
7|6|0 , send specific mpls echo request message device reset
7|6|0 , spoof ssl server
7|9|6|0|10 , determine hide ssid passphrase
7|6|0 , http request smuggling
7|6|0 , prototype pollution vulnerability inject arbitrary property object.prototype
7|6|0 , elevate privilege
7|9|6|0|10 , man obtain sensitive information
7|9|6|0|10 , obtain unspecified installation information technical datum
7|9|6|0|10 , information exposure pad ethernet frame memory content
10 , incorrect default permission cwe-276
7|9|6|0|10 , obtain sensitive information process memory
7|9|6|0|10 , gain privilege
3|7|6|9|1|0 , create user account
7|6|0 , remote code execution hyper v remote code execution
7|9|6|0|10 , read content different cross domain scroll event shift jis character encoding
9|8 ,
10 , create hardlink write log process sharing violation
3|7|9|6|4|0 , obtain sensitive information
7|6|0 , upload- upload file arbitrary file type attack unspecified system
7|6|4|0 , shell user account
0 , inefficient regular expression complexity
7|6|0 , denial service
7|9|6|0|10 , read restrict ticket
7|9|6|0|10 , information leak view resource instead control viewing editing
7|6|0 , arbitrary file creation execute arbitrary command
