9|10|0|6|7 , file disclosure vulnerability information exposure
0|6|7 , phishing attack
0|6|7 , server template injection ssti remote code execution
9|10|0|6|7 , timing attack brute force signing key complete read write access bits service storage
10 , weak permission
5 ,
3|9|1|0|6|7 , bypass authentication reset poll vote
3|9|1|0|6|7 , assume proper authentication fake remember token assume identity global system administrator request non public content
0|6|7 , symlink traversal arbitrary file overwrite
9|10|0|6|7 , obtain sensitive information
0|6|7 , spoof dns response
0|6|7 , x server crash execute arbitrary code
3|9|0|6|4|7 , cleartext password
3|9|1|0|6|7 , replay attack
0|6|7 , denial service null pointer dereference oops
9|10|0|6|7 , obtain sensitive job build information
1|3 , deploy trojan horse code ensure c:\python27 access control
9|10|0|6|7 , obtain input event obtain password
0|6|7 , validation issue modify protect file system
3|9|1|0|6|7 , bypass filtering protection bypass filtering deliver malicious request protect system
9|10|0|6|7 , reference external open xml document type definition track access manipulate document usage document expose
0|6|7 , modify overwrite arbitrary file
3|9|0|6|4|7 , gain ssh root access
3|9|1|0|6|7 , bypass login obtain partially authorize token uid
9|10|0|6|7 , obtain sensitive information
5 , corrupt data loss
0|6|7 , arbitrary file read modify data source configuration
0|9|6|7 , elevation privilege execute arbitrary code compromise privileged process
3|9|1|0|6|4 , gain privilege
0|9|6|7 , gain privilege
9|10|0|6|7 , obtain sensitive system information
0|6|7 , denial service application crash unspecified impact
9|10|0|6|7 , hijack session
9|10|0|6|7 , read interface setting vdoms
9|10|0|6|7 , install plugin include activate arbitrary plugin blog install vulnerable plugin
3|9|0|6|4|7 , authentication error password exposure
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , bypass authentication send alter communication packet
0|6|7 , trigger truncation apfs volume password
0|6|7 , host header injection
3|9|1|0|6|7 , improper authentication obtain illegitimate access system
0|6|7 , read asp.net source code
3|9|1|0|6|7 , bypass intend authentication.transport access restriction obtain unspecified access
0|6|7 , denial service assertion failure application exit
9|10|0|6|7 , arp poisoning attack obtain sensitive information
5 , denial service memory consumption
3|9|0|6|4|7 , obtain hash user password obtain hash user password
3|9|1|0|6|7 , bypass intend access restriction
0|6|7 , cross site request forgery csrf hijack authentication arbitrary user
9|10|0|6|7 , obtain sensitive information
0|6|7 , denial service
0|6|7 , execute arbitrary code
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , execute arbitrary code
9|10|0|6|7 , discover password bypass office 365 restriction
3|9|1|0|6|7 , leak user information password
9|10|0|6|7 , bypass origin policy obtain sensitive information
0|6|7 , bound memory read
3|9|1|0|6|7 , bypass authentication
9|10|0|6|7 , hijack environment variable
0|6|4|7 ,
0|6|7 , untrusted search path gain privilege execute arbitrary code
3|9|1|0|6|7 , disaster recovery dra bypass authentication
0|6|7 , spam abuse
9|8 , download code unauthorized command execution
0|6|7 , denial service host hang crash
9|10|0|6|7 ,
0|6|7 , denial service bsod unspecified impact
0|6|7 , execute arbitrary code sql login
0|6|7 , gain privilege
9|10|0|6|7 ,
9|10|0|6|7 , custom variable reference secret setup protection rule ` ` instead original value hide custom variable column hide host service
3|9|1|0|6|7 , bypass validation certificate chain
0|6|7 , download malicious payload damage victim
9|10|0|6|7 , obtain potentially sensitive information
0|6|7 , remote code execution
0|6|7 , gain host os privilege prepare device assign vulnerable state dma host memory privilege escalation dma
0|9|6|7 , bypass power write protection
9|10|0|6|7 , obtain sensitive information process memory
9|10|0|6|7 , compromise authentication key access manipulate security relevant configuration unrestricted database access
0|6|7 , provide craft input openjpeg bounds write confidentiality integrity
0|6|7 , remote code execution
9|10|0|6|7 , obtain sensitive information
0|9|6|7 , redirect application outbound http traffic arbitrary proxy server httpoxy
9|10|0|6|7 , obtain information
9|10|0|6|7 , read private e mail person memory aliasing
0|6|7 , denial service crash
9|10|0|6|7 , obtain sensitive information kernel stack memory
0|6|4|7 , run arbitrary web service remote procedure
0|9|6|7 , bypass access restriction enable debug option
0|6|7 , return illegal header integrate server response injection unexpected behavior
9|10|0|6|7 , leak hashed password
0|6|7 , download install trojan horse package
0|6|4|7 , manage endpoint compromise
5 , crash asterisk sdp negotiation failure
3|9|1|0|6|7 , use authenticate user session execute statement privilege escalation hijack session query incorrect audit logging undertake action hide session secret attack attack redact secret log
9|10|0|6|7 , view edit group runner setting
3|0|6|4|7 , bypass authentication maintenance port denial service
9|10|0|6|7 , information exposure leak information exist username
0|6|7 , arbitrary code execution
9|10|0|6|7 , obtain sensitive information kernel stack memory
0|6|7 , impact operations manager
0|6|7 , search path gain privilege
0|6|7 , escape parent session escape sandbox
9|10|0|6|7 , obtain sensitive information
3|9|1|0|6|7 , authentication bypass direct access webpage access application
0|6|7 , gain privilege
0|6|7 , denial service bsod
0|6|7 , place malicious file gain administrative privilege system
0|9|6|7 , execute arbitrary code
10|3 , cookie value obtain cookie value
0|6|7 , csv injection execute arbitrary command system
10 , bypass device guard user mode code integrity umci
3|9|1|0|6|4 , bypass normal login process login application gain access data functionality
9|10|0|6|7 , discover content directory
9|10|0|6|7 , obtain credential
9|10|0|6|7 , obtain sensitive information
0|6|7 , denial service crash
9|10|0|6|7 , obtain sensitive information
0|6|7 , remote desktop session host rdsh spoof client remote desktop session host
0|6|4|7 , obtain administrative access
10 , remote access gain privileged access affect system
9|10|0|6|7 , privilege escalation
9|10|0|6|7 , write access unauthorized replacement service program executable exe dynamically loadable library dll elevate system user access configuration control file affect service process behavior
0|6|7 , denial service device reload
10 , escalate privilege local access
3|9|1|0|6|7 , spoof arbitrary https site
9|10|0|6|7 , hijack tcp session
0|6|7 , bypass content filter email instead forward device
9|10|0|6|7 , information disclosure
0|6|7 , execute arbitrary program
9|10|0|6|7 , override jdk download credential download jdk
0|6|7 , gain privilege overwrite arbitrary memory location
0|6|7 , denial service data loss filesystem write operation
9|10|0|6|7 , bypass intend anonymity feature discover client ip address
0|6|7 , denial service high speed bridge hang
0|6|7 , inject code dll hijacking
0|9|6|7 , create modify subtree
9|10|0|6|7 , exposure sensitive information readable expose
9|10|0|6|7 , delete arbitrary file
5 , elevation privilege
5 , remote code execution remote code execution
9|10|0|6|7 , read backup file
3|9|0|6|4|7 ,
0|9|6|7 , bypass intend access restriction
0|6|7 , elevation privilege
9|10|0|6|7 , bypass intend grid data access
0|6|4|7 , access biomedical information modify device setting calibration
9|10|0|6|7 , capture cookie
0|6|7 , execute arbitrary code denial service memory corruption memory corruption
0|6|7 , software abort
1|3 , upload arbitrary datum arbitrary file extension file upload directly reference file correctly guess filename use
0|6|7 , argument parameter add repository execute code choice
0|9|6|7 , denial service process crash
0|6|4|7 , login ftp upload malicious firmware
5 , invalid progressive jpeg image denial service fatal error abort decompression resource consumption image size
9|10|0|6|7 , download database
0|6|7 , construct uri value slide unsanitized
0|6|7 , execute arbitrary command root
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , read content arbitrary database table
9|10|0|6|7 , bypass intend access restriction server annotation replication stall
3|9|1|0|6|7 , access specific component
0|6|7 , denial service application crash
0|6|7 , bypass origin policy inject cascade style sheet css token sequence
0|6|7 , extract email service
0|6|7 , denial service infinite loop
9|10|0|6|7 , control socket world read write permission overwrite arbitrary file execute arbitrary code
0|6|7 , gain shell access restricted shell break gain shell access underlie system
9|10|0|6|7 , obtain sensitive information ini configuration file
3|9|1|0|6|7 , bypass authentication gain administrator privilege
0|6|7 , crlf injection add arbitrary mail header
3|9|0|6|4|7 , discover wi fi credential
0|6|7 , improper input validation escalate privilege root target device
0|6|7 , execute arbitrary code underlie operating system execute code root privilege
0|9|6|7 , bypass signature verification file
0|6|7 , execute arbitrary command
0|6|7 , execute arbitrary code execute arbitrary code
0|6|7 , execute arbitrary command
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , insecure permission issue
9|10|0|6|7 , determine valid username timing discrepancy delay
9|10|0|6|7 , sql injection execute arbitrary sql command
0|6|7 , denial service daemon outage denial service
0|6|7 , spoof ssl server
0|6|7 , unspecified impact remote attack vector
0|6|7 , denial service cocoa application crash unhandled exception
10 , local privilege elevation overwrite service executable execute arbitrary code local privilege escalation
9|10|0|6|7 , obtain sensitive information
9|10|0|6|7 , read arbitrary file xml external entity xxe
3|9|1|0|6|7 , basic authentication scheme
0|6|7 , denial service bounds array access unspecified impact
9|10|0|6|7 , information disclosure information disclosure
0|6|7 , denial service application hang integer signedness error
9|10|0|6|7 , hijack environment variable
0|6|7 , escalation privilege
0|9|6|7 , denial service application hang denial service
9|10|0|6|7 , bypass authentication mechanism information leak
3|9|1|0|6|7 , authentication bypass session hijacking
